Entity,Code,Year,Wind (% equivalent primary energy)
Africa,,1965,0
Africa,,1966,0
Africa,,1967,0
Africa,,1968,0
Africa,,1969,0
Africa,,1970,0
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0.00022302853
Africa,,1994,0.00058254955
Africa,,1995,0.00065322715
Africa,,1996,0.0007178782
Africa,,1997,0.0007128844
Africa,,1998,0.0007409943
Africa,,1999,0.0018730775
Africa,,2000,0.016237248
Africa,,2001,0.036879703
Africa,,2002,0.038611684
Africa,,2003,0.044186793
Africa,,2004,0.058652762
Africa,,2005,0.059030183
Africa,,2006,0.06287652
Africa,,2007,0.07173005
Africa,,2008,0.086834714
Africa,,2009,0.10281464
Africa,,2010,0.14236966
Africa,,2011,0.14662294
Africa,,2012,0.14768422
Africa,,2013,0.20385014
Africa,,2014,0.2776444
Africa,,2015,0.47575557
Africa,,2016,0.5770127
Africa,,2017,0.67600846
Africa,,2018,0.7113211
Africa,,2019,0.90603006
Africa,,2020,0.9438244
Africa,,2021,1.0420942
Africa,,2022,1.0903506
Africa,,2023,1.2466762
Africa (EI),,1965,0
Africa (EI),,1966,0
Africa (EI),,1967,0
Africa (EI),,1968,0
Africa (EI),,1969,0
Africa (EI),,1970,0
Africa (EI),,1971,0
Africa (EI),,1972,0
Africa (EI),,1973,0
Africa (EI),,1974,0
Africa (EI),,1975,0
Africa (EI),,1976,0
Africa (EI),,1977,0
Africa (EI),,1978,0
Africa (EI),,1979,0
Africa (EI),,1980,0
Africa (EI),,1981,0
Africa (EI),,1982,0
Africa (EI),,1983,0
Africa (EI),,1984,0
Africa (EI),,1985,0
Africa (EI),,1986,0
Africa (EI),,1987,0
Africa (EI),,1988,0
Africa (EI),,1989,0
Africa (EI),,1990,0
Africa (EI),,1991,0
Africa (EI),,1992,0
Africa (EI),,1993,0.00022302852
Africa (EI),,1994,0.00058254955
Africa (EI),,1995,0.00065322715
Africa (EI),,1996,0.0007178782
Africa (EI),,1997,0.0007128844
Africa (EI),,1998,0.0007409943
Africa (EI),,1999,0.0018730749
Africa (EI),,2000,0.016237248
Africa (EI),,2001,0.036879703
Africa (EI),,2002,0.038611684
Africa (EI),,2003,0.044186786
Africa (EI),,2004,0.058652766
Africa (EI),,2005,0.05903019
Africa (EI),,2006,0.06287653
Africa (EI),,2007,0.071730055
Africa (EI),,2008,0.08683472
Africa (EI),,2009,0.10281464
Africa (EI),,2010,0.14236964
Africa (EI),,2011,0.14662293
Africa (EI),,2012,0.14768422
Africa (EI),,2013,0.20385014
Africa (EI),,2014,0.27764443
Africa (EI),,2015,0.47575557
Africa (EI),,2016,0.5770127
Africa (EI),,2017,0.67600846
Africa (EI),,2018,0.7113212
Africa (EI),,2019,0.90603
Africa (EI),,2020,0.9438244
Africa (EI),,2021,1.0420942
Africa (EI),,2022,1.0903506
Africa (EI),,2023,1.2466761
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0
Algeria,DZA,2011,0
Algeria,DZA,2012,0
Algeria,DZA,2013,0
Algeria,DZA,2014,0.0004626086
Algeria,DZA,2015,0.008285812
Algeria,DZA,2016,0.008266354
Algeria,DZA,2017,0.008105944
Algeria,DZA,2018,0.0039510895
Algeria,DZA,2019,0.0037963225
Algeria,DZA,2020,0.0031164205
Algeria,DZA,2021,0.0038827092
Algeria,DZA,2022,0.00568165
Algeria,DZA,2023,0.0058953674
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0.004327963
Argentina,ARG,1997,0.006490861
Argentina,ARG,1998,0.0139773125
Argentina,ARG,1999,0.014775457
Argentina,ARG,2000,0.014708435
Argentina,ARG,2001,0.021246457
Argentina,ARG,2002,0.0327373
Argentina,ARG,2003,0.03222731
Argentina,ARG,2004,0.028028907
Argentina,ARG,2005,0.025978638
Argentina,ARG,2006,0.023858363
Argentina,ARG,2007,0.020119285
Argentina,ARG,2008,0.013439119
Argentina,ARG,2009,0.012065503
Argentina,ARG,2010,0.00796015
Argentina,ARG,2011,0.008068957
Argentina,ARG,2012,0.107463256
Argentina,ARG,2013,0.1259001
Argentina,ARG,2014,0.17127606
Argentina,ARG,2015,0.1602739
Argentina,ARG,2016,0.14764862
Argentina,ARG,2017,0.16416803
Argentina,ARG,2018,0.3797175
Argentina,ARG,2019,1.4200798
Argentina,ARG,2020,2.841371
Argentina,ARG,2021,3.532051
Argentina,ARG,2022,3.5875974
Argentina,ARG,2023,3.6874316
Asia,,1965,0
Asia,,1966,0
Asia,,1967,0
Asia,,1968,0
Asia,,1969,0
Asia,,1970,0
Asia,,1971,0
Asia,,1972,0
Asia,,1973,0
Asia,,1974,0
Asia,,1975,0
Asia,,1976,0
Asia,,1977,0
Asia,,1978,0
Asia,,1979,0
Asia,,1980,0
Asia,,1981,0
Asia,,1982,0
Asia,,1983,0
Asia,,1984,0
Asia,,1985,0
Asia,,1986,0
Asia,,1987,0
Asia,,1988,0
Asia,,1989,0
Asia,,1990,0.00038382778
Asia,,1991,0.0013611262
Asia,,1992,0.002338583
Asia,,1993,0.003148228
Asia,,1994,0.0055862265
Asia,,1995,0.010346154
Asia,,1996,0.008684255
Asia,,1997,0.010328135
Asia,,1998,0.012568517
Asia,,1999,0.016957888
Asia,,2000,0.019112794
Asia,,2001,0.024669502
Asia,,2002,0.025335839
Asia,,2003,0.030910151
Asia,,2004,0.04964484
Asia,,2005,0.0576249
Asia,,2006,0.084829114
Asia,,2007,0.105574
Asia,,2008,0.15534107
Asia,,2009,0.23473293
Asia,,2010,0.33698624
Asia,,2011,0.4501488
Asia,,2012,0.5657017
Asia,,2013,0.7037088
Asia,,2014,0.7766335
Asia,,2015,0.864977
Asia,,2016,1.0984392
Asia,,2017,1.317107
Asia,,2018,1.5062997
Asia,,2019,1.608366
Asia,,2020,1.8089244
Asia,,2021,2.3354592
Asia,,2022,2.6166852
Asia,,2023,2.8904674
Asia Pacific (EI),,1965,0
Asia Pacific (EI),,1966,0
Asia Pacific (EI),,1967,0
Asia Pacific (EI),,1968,0
Asia Pacific (EI),,1969,0
Asia Pacific (EI),,1970,0
Asia Pacific (EI),,1971,0
Asia Pacific (EI),,1972,0
Asia Pacific (EI),,1973,0
Asia Pacific (EI),,1974,0
Asia Pacific (EI),,1975,0
Asia Pacific (EI),,1976,0
Asia Pacific (EI),,1977,0
Asia Pacific (EI),,1978,0
Asia Pacific (EI),,1979,0
Asia Pacific (EI),,1980,0
